customer_id,sales_ノートPC,購買回数_ノートPC,sales_周辺機器,購買回数_周辺機器,sales_デスクトップ,購買回数_デスクトップ,sales_タブレット,購買回数_タブレット,group
C-000026,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000027,839700.0,1.0,0.0,0.0,542600.0,2.0,497368.0,1.0,2
C-000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
C-000029,9846220.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000030,0.0,0.0,11343.0,1.0,0.0,0.0,0.0,0.0,3
C-000031,0.0,0.0,0.0,0.0,116800.0,1.0,0.0,0.0,0
C-000032,0.0,0.0,0.0,0.0,216900.0,1.0,0.0,0.0,0
C-000033,3815100.0,4.0,0.0,0.0,5750700.0,6.0,181368.0,2.0,1
C-000034,1118600.0,1.0,0.0,0.0,1908800.0,3.0,0.0,0.0,0
C-000035,173800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000036,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000037,0.0,0.0,0.0,0.0,512800.0,1.0,0.0,0.0,0
C-000038,869700.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000039,126800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000040,279900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000041,766000.0,2.0,0.0,0.0,1174000.0,1.0,0.0,0.0,0
C-000042,279900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000043,98740.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000044,0.0,0.0,0.0,0.0,184800.0,1.0,0.0,0.0,0
C-000045,383600.0,1.0,6304.0,2.0,0.0,0.0,0.0,0.0,3
C-000046,0.0,0.0,0.0,0.0,124800.0,1.0,0.0,0.0,0
C-000047,639200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000048,2037600.0,1.0,0.0,0.0,1373400.0,1.0,0.0,0.0,0
C-000049,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000050,699600.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000051,0.0,0.0,0.0,0.0,174900.0,1.0,124342.0,1.0,2
C-000052,882600.0,4.0,15222.0,1.0,1062000.0,2.0,0.0,0.0,1
C-000053,369800.0,1.0,11343.0,1.0,0.0,0.0,0.0,0.0,3
C-000054,0.0,0.0,0.0,0.0,704400.0,1.0,0.0,0.0,0
C-000055,349800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000056,0.0,0.0,0.0,0.0,1958400.0,3.0,0.0,0.0,0
C-000058,181800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000059,448540.0,2.0,0.0,0.0,256400.0,1.0,0.0,0.0,0
C-000060,3054520.0,3.0,16300.0,1.0,1430000.0,2.0,870394.0,1.0,1
C-000062,1845800.0,3.0,0.0,0.0,704400.0,1.0,0.0,0.0,0
C-000063,519600.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000064,349800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000065,449700.0,2.0,32600.0,1.0,194800.0,1.0,0.0,0.0,3
C-000066,0.0,0.0,0.0,0.0,369600.0,1.0,0.0,0.0,0
C-000067,269800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000068,181800.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000069,159800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000070,542400.0,1.0,0.0,0.0,975700.0,2.0,0.0,0.0,0
C-000071,0.0,0.0,9352.0,2.0,3198400.0,1.0,0.0,0.0,3
C-000072,136800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000073,0.0,0.0,130400.0,1.0,4157400.0,1.0,0.0,0.0,3
C-000074,289900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000075,229900.0,1.0,0.0,0.0,216900.0,1.0,0.0,0.0,0
C-000076,0.0,0.0,5074.0,1.0,184800.0,1.0,0.0,0.0,3
C-000077,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000078,566400.0,2.0,0.0,0.0,0.0,0.0,90684.0,1.0,2
C-000079,0.0,0.0,0.0,0.0,94800.0,1.0,0.0,0.0,0
C-000080,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
C-000081,519400.0,2.0,0.0,0.0,1589900.0,2.0,136026.0,1.0,2
C-000082,0.0,0.0,0.0,0.0,216900.0,1.0,0.0,0.0,0
C-000083,0.0,0.0,5074.0,1.0,1293800.0,2.0,0.0,0.0,3
C-000084,0.0,0.0,53974.0,2.0,1638100.0,2.0,0.0,0.0,3
C-000085,0.0,0.0,0.0,0.0,0.0,2.0,45342.0,1.0,2
C-000086,545400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000087,699600.0,1.0,0.0,0.0,539200.0,1.0,0.0,0.0,0
C-000088,0.0,0.0,7562.0,1.0,0.0,0.0,0.0,0.0,3
C-000089,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
C-000090,870800.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000091,919600.0,1.0,114100.0,1.0,4099000.0,2.0,0.0,0.0,3
C-000092,952300.0,3.0,0.0,0.0,0.0,0.0,248684.0,1.0,2
C-000093,231400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000094,309800.0,1.0,0.0,0.0,228900.0,1.0,0.0,0.0,0
C-000095,0.0,0.0,0.0,0.0,1439600.0,2.0,0.0,0.0,0
C-000096,943400.0,2.0,22648.0,1.0,1567000.0,2.0,0.0,0.0,3
C-000097,389700.0,2.0,0.0,0.0,256400.0,1.0,0.0,0.0,0
C-000098,689400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000099,579800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000100,471700.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000101,0.0,0.0,0.0,0.0,433600.0,1.0,0.0,0.0,0
C-000102,0.0,0.0,3781.0,1.0,0.0,0.0,0.0,0.0,3
C-000103,383600.0,1.0,0.0,0.0,0.0,0.0,124342.0,1.0,2
C-000104,289900.0,1.0,0.0,0.0,512800.0,1.0,0.0,0.0,0
C-000105,0.0,0.0,16300.0,1.0,0.0,0.0,0.0,0.0,3
C-000106,0.0,0.0,0.0,0.0,584800.0,1.0,0.0,0.0,0
C-000107,0.0,0.0,7562.0,1.0,178900.0,1.0,0.0,0.0,3
C-000108,0.0,0.0,0.0,0.0,3283200.0,1.0,0.0,0.0,0
C-000109,363600.0,1.0,2831.0,1.0,0.0,0.0,0.0,0.0,3
C-000110,289900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000111,713400.0,2.0,0.0,0.0,357800.0,1.0,0.0,0.0,0
C-000112,0.0,0.0,0.0,0.0,224800.0,1.0,0.0,0.0,0
C-000113,0.0,0.0,0.0,0.0,0.0,0.0,124342.0,1.0,2
C-000114,519600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000115,958280.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000116,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000117,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000118,126800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000119,135600.0,1.0,2831.0,1.0,0.0,0.0,0.0,0.0,3
C-000120,405200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000121,2544600.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000122,539600.0,1.0,0.0,0.0,619200.0,1.0,0.0,0.0,0
C-000123,779400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000124,0.0,0.0,0.0,0.0,0.0,0.0,44910.0,1.0,2
C-000125,191800.0,1.0,41591.0,1.0,4249000.0,1.0,0.0,0.0,3
C-000126,0.0,0.0,19817.0,1.0,116800.0,1.0,0.0,0.0,3
C-000127,0.0,0.0,0.0,0.0,434800.0,1.0,0.0,0.0,0
C-000128,0.0,0.0,0.0,0.0,379400.0,1.0,0.0,0.0,0
C-000129,0.0,0.0,0.0,0.0,536700.0,1.0,0.0,0.0,0
C-000130,229900.0,1.0,0.0,0.0,249600.0,1.0,0.0,0.0,0
C-000131,159800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000132,159800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000133,2118000.0,3.0,0.0,0.0,988000.0,2.0,0.0,0.0,1
C-000134,319600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000135,4039100.0,3.0,0.0,0.0,359000.0,1.0,0.0,0.0,0
C-000136,126800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000137,5430400.0,4.0,15124.0,1.0,2951000.0,5.0,1367762.0,1.0,1
C-000138,1979000.0,3.0,0.0,0.0,0.0,0.0,45342.0,1.0,2
C-000139,1702000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000140,356000.0,2.0,0.0,0.0,364800.0,1.0,0.0,0.0,0
C-000141,169800.0,1.0,0.0,0.0,457800.0,1.0,0.0,0.0,0
C-000143,539600.0,1.0,19980.0,1.0,0.0,0.0,0.0,0.0,3
C-000144,2240100.0,4.0,18905.0,1.0,3187800.0,4.0,0.0,0.0,1
C-000145,67800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000146,169600.0,1.0,0.0,0.0,0.0,0.0,45342.0,1.0,2
C-000147,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
C-000148,2489400.0,2.0,0.0,0.0,284400.0,1.0,0.0,0.0,0
C-000150,253600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000151,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000152,98740.0,1.0,2537.0,1.0,0.0,0.0,0.0,0.0,3
C-000153,98740.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000154,0.0,0.0,22833.0,1.0,0.0,0.0,0.0,0.0,3
C-000155,1520800.0,2.0,0.0,0.0,154800.0,1.0,0.0,0.0,0
C-000156,0.0,0.0,11324.0,1.0,1303200.0,2.0,0.0,0.0,3
C-000157,479400.0,1.0,0.0,0.0,4740900.0,3.0,44910.0,1.0,2
C-000158,289900.0,1.0,0.0,0.0,788000.0,2.0,0.0,0.0,0
C-000159,0.0,0.0,0.0,0.0,224800.0,1.0,0.0,0.0,0
C-000160,684000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000161,809400.0,1.0,0.0,0.0,2478300.0,3.0,0.0,0.0,0
C-000162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000163,1824940.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000164,1302400.0,3.0,0.0,0.0,3308300.0,5.0,0.0,0.0,1
C-000165,2068200.0,1.0,0.0,0.0,1355100.0,2.0,0.0,0.0,0
C-000166,0.0,0.0,0.0,0.0,4314800.0,2.0,226710.0,1.0,2
C-000167,0.0,0.0,0.0,0.0,1348500.0,2.0,0.0,0.0,0
C-000168,199800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000169,207600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000170,701000.0,3.0,19980.0,1.0,0.0,0.0,0.0,1.0,2
C-000171,0.0,0.0,0.0,0.0,1319200.0,2.0,0.0,0.0,0
C-000172,296220.0,1.0,2831.0,1.0,364800.0,2.0,0.0,0.0,3
C-000173,0.0,0.0,0.0,1.0,2331500.0,2.0,0.0,0.0,3
C-000174,181800.0,1.0,0.0,0.0,134800.0,1.0,0.0,0.0,0
C-000175,3447600.0,2.0,16104.0,3.0,2338600.0,2.0,408078.0,1.0,3
C-000176,0.0,0.0,0.0,0.0,155800.0,1.0,0.0,0.0,0
C-000177,1308600.0,2.0,0.0,0.0,1173380.0,4.0,248684.0,1.0,1
C-000178,579800.0,1.0,0.0,0.0,6027800.0,2.0,136026.0,1.0,2
C-000179,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
C-000180,67800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000181,129800.0,1.0,0.0,0.0,639600.0,1.0,0.0,0.0,0
C-000182,0.0,0.0,0.0,0.0,224800.0,1.0,0.0,0.0,0
C-000183,479400.0,1.0,0.0,0.0,2118400.0,2.0,0.0,0.0,0
C-000184,929400.0,1.0,0.0,0.0,739200.0,1.0,0.0,0.0,0
C-000185,181800.0,1.0,2537.0,1.0,0.0,0.0,0.0,0.0,3
C-000186,431000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000187,699600.0,1.0,0.0,0.0,1090600.0,1.0,0.0,0.0,0
C-000188,1345620.0,2.0,0.0,0.0,4720800.0,2.0,45342.0,1.0,2
C-000189,197480.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000190,644600.0,2.0,0.0,0.0,1983020.0,3.0,0.0,0.0,1
C-000191,0.0,0.0,3781.0,1.0,0.0,0.0,0.0,0.0,3
C-000192,173800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000193,0.0,0.0,33210.0,1.0,524700.0,1.0,0.0,0.0,3
C-000194,575400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000195,400880.0,3.0,0.0,0.0,134800.0,1.0,0.0,1.0,2
C-000196,7838620.0,8.0,0.0,0.0,3086600.0,3.0,497368.0,1.0,1
C-000197,4131100.0,4.0,139860.0,1.0,3918600.0,3.0,0.0,0.0,1
C-000198,0.0,0.0,0.0,0.0,0.0,0.0,90684.0,1.0,2
C-000199,727200.0,1.0,0.0,0.0,554400.0,1.0,0.0,0.0,0
C-000200,805000.0,2.0,0.0,0.0,433600.0,1.0,0.0,0.0,0
C-000201,0.0,0.0,0.0,0.0,154800.0,1.0,0.0,0.0,0
C-000202,1357080.0,2.0,97800.0,1.0,3322800.0,4.0,29940.0,1.0,1
C-000203,298540.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000204,1101840.0,2.0,0.0,0.0,369600.0,1.0,0.0,0.0,0
C-000205,1702800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000206,289900.0,1.0,0.0,0.0,1771400.0,3.0,90684.0,1.0,2
C-000208,0.0,0.0,0.0,0.0,869600.0,1.0,0.0,0.0,0
C-000209,0.0,0.0,32600.0,1.0,909000.0,2.0,0.0,0.0,3
C-000210,699600.0,1.0,0.0,0.0,0.0,0.0,44910.0,1.0,2
C-000211,0.0,0.0,0.0,0.0,319800.0,1.0,0.0,0.0,0
C-000212,1639000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000213,347600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000214,1270600.0,2.0,4920.0,1.0,0.0,0.0,0.0,0.0,3
C-000215,1409600.0,3.0,0.0,0.0,774000.0,1.0,0.0,0.0,0
C-000216,789920.0,1.0,0.0,0.0,1293600.0,1.0,0.0,0.0,0
C-000217,84800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000218,309600.0,1.0,0.0,0.0,727400.0,2.0,0.0,0.0,0
C-000219,0.0,0.0,0.0,0.0,1579200.0,3.0,0.0,0.0,0
C-000220,925600.0,1.0,5074.0,1.0,0.0,0.0,0.0,0.0,3
C-000221,289900.0,1.0,0.0,0.0,1148900.0,2.0,0.0,0.0,0
C-000222,4448000.0,7.0,3781.0,1.0,2930100.0,4.0,44910.0,1.0,1
C-000223,181800.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3
C-000224,4838000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000225,1102000.0,2.0,30248.0,1.0,3372000.0,1.0,74850.0,1.0,2
C-000226,0.0,0.0,0.0,0.0,679800.0,1.0,0.0,0.0,0
C-000227,939200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000228,0.0,0.0,40592.0,1.0,1533600.0,2.0,0.0,0.0,3
C-000229,2403000.0,4.0,14942.0,2.0,3067400.0,3.0,589446.0,1.0,1
C-000230,479400.0,1.0,0.0,0.0,650700.0,1.0,0.0,0.0,0
C-000231,0.0,0.0,0.0,0.0,379400.0,1.0,0.0,0.0,0
C-000232,579800.0,1.0,0.0,0.0,1168000.0,1.0,0.0,0.0,0
C-000233,1653600.0,3.0,4920.0,1.0,1478400.0,1.0,0.0,0.0,3
C-000234,199800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000235,326340.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000236,1239200.0,1.0,0.0,0.0,2174000.0,1.0,0.0,0.0,0
C-000237,1243480.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000238,159800.0,1.0,4920.0,1.0,1304400.0,1.0,0.0,0.0,3
C-000239,0.0,0.0,0.0,0.0,234800.0,1.0,0.0,0.0,0
C-000240,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000241,0.0,0.0,0.0,0.0,155800.0,1.0,0.0,0.0,0
C-000242,394960.0,1.0,0.0,0.0,1503000.0,3.0,0.0,0.0,0
C-000243,289900.0,1.0,1230.0,1.0,0.0,0.0,0.0,0.0,3
C-000244,136800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000245,1955800.0,2.0,32600.0,1.0,1875000.0,2.0,373026.0,1.0,1
C-000246,0.0,0.0,3781.0,1.0,4417800.0,3.0,124342.0,1.0,2
C-000247,149800.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000248,689400.0,1.0,0.0,0.0,434800.0,1.0,0.0,0.0,0
C-000249,0.0,0.0,0.0,0.0,2990600.0,3.0,0.0,0.0,0
C-000250,2272400.0,3.0,79920.0,1.0,2232600.0,2.0,0.0,0.0,1
C-000251,0.0,0.0,0.0,0.0,0.0,0.0,248684.0,1.0,2
C-000252,0.0,0.0,0.0,0.0,1449000.0,2.0,0.0,0.0,0
C-000253,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
C-000254,98740.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000255,149800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000256,0.0,0.0,32600.0,1.0,867600.0,1.0,0.0,0.0,3
C-000257,309800.0,1.0,6150.0,1.0,0.0,0.0,0.0,0.0,3
C-000258,0.0,0.0,0.0,0.0,0.0,0.0,45342.0,1.0,2
C-000259,154800.0,1.0,1230.0,1.0,0.0,1.0,0.0,0.0,3
C-000260,999500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000261,383600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000262,689200.0,5.0,19980.0,1.0,0.0,0.0,169684.0,2.0,2
C-000263,1952020.0,4.0,39960.0,1.0,4906980.0,3.0,0.0,0.0,1
C-000264,516620.0,3.0,0.0,0.0,116800.0,1.0,0.0,0.0,0
C-000265,0.0,0.0,0.0,0.0,389600.0,1.0,90684.0,1.0,2
C-000266,579800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000267,279900.0,2.0,3781.0,1.0,1644200.0,4.0,0.0,0.0,1
C-000268,2042400.0,2.0,39960.0,1.0,1848000.0,2.0,0.0,0.0,1
C-000269,74800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000270,0.0,0.0,7534.0,2.0,373700.0,2.0,0.0,0.0,3
C-000271,0.0,0.0,0.0,0.0,1169600.0,1.0,0.0,0.0,0
C-000272,289900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000273,1549000.0,1.0,0.0,0.0,745000.0,2.0,0.0,0.0,0
C-000274,0.0,0.0,15222.0,1.0,0.0,0.0,0.0,0.0,3
C-000275,0.0,0.0,0.0,0.0,154800.0,1.0,124342.0,1.0,2
C-000276,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000277,0.0,0.0,100631.0,2.0,0.0,0.0,0.0,0.0,3
C-000278,891200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000279,0.0,0.0,0.0,0.0,679800.0,1.0,0.0,0.0,0
C-000280,279900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000281,824000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000282,2199000.0,2.0,32600.0,1.0,704400.0,1.0,0.0,0.0,3
C-000283,1079200.0,1.0,0.0,0.0,399800.0,1.0,0.0,0.0,0
C-000284,289900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000285,0.0,0.0,0.0,0.0,799600.0,1.0,0.0,0.0,0
C-000286,135600.0,1.0,2537.0,1.0,0.0,0.0,0.0,0.0,3
C-000287,599200.0,1.0,11324.0,1.0,4531100.0,4.0,0.0,0.0,1
C-000288,183540.0,3.0,3781.0,1.0,1390300.0,3.0,0.0,0.0,1
C-000289,849000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000290,0.0,0.0,0.0,0.0,0.0,0.0,362736.0,1.0,2
C-000291,279900.0,1.0,0.0,0.0,94800.0,1.0,0.0,0.0,0
C-000292,0.0,0.0,0.0,0.0,584800.0,1.0,0.0,0.0,0
C-000293,126800.0,1.0,0.0,0.0,0.0,0.0,621710.0,1.0,2
C-000294,1420400.0,3.0,7611.0,1.0,1851980.0,4.0,0.0,0.0,1
C-000295,873200.0,2.0,59940.0,1.0,2418480.0,2.0,0.0,0.0,3
C-000296,0.0,0.0,32600.0,1.0,350400.0,1.0,0.0,0.0,3
C-000297,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
C-000298,1094560.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000299,0.0,0.0,0.0,0.0,1383600.0,3.0,0.0,0.0,0
C-000300,1575000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000301,289900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000302,749200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000303,0.0,0.0,3781.0,1.0,0.0,0.0,0.0,0.0,3
C-000304,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000305,229900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000306,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000307,0.0,0.0,0.0,0.0,179880.0,1.0,0.0,0.0,0
C-000308,805360.0,2.0,0.0,0.0,1674200.0,3.0,0.0,0.0,1
C-000309,0.0,0.0,16300.0,1.0,0.0,0.0,0.0,0.0,3
C-000310,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
C-000311,0.0,0.0,19980.0,1.0,0.0,0.0,0.0,0.0,3
C-000312,67800.0,1.0,0.0,0.0,4782800.0,1.0,0.0,0.0,0
C-000313,371280.0,2.0,116931.0,3.0,1745900.0,2.0,134730.0,1.0,3
C-000314,0.0,0.0,0.0,0.0,0.0,0.0,248684.0,1.0,2
C-000315,0.0,0.0,0.0,0.0,256400.0,1.0,0.0,0.0,0
C-000316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2
C-000317,0.0,0.0,0.0,0.0,2199600.0,1.0,90684.0,1.0,2
C-000318,0.0,0.0,0.0,0.0,3412200.0,2.0,0.0,0.0,0
C-000319,149800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000320,659400.0,2.0,0.0,0.0,224800.0,1.0,0.0,0.0,0
C-000321,539600.0,1.0,0.0,0.0,769200.0,1.0,0.0,0.0,0
C-000322,349800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000323,559800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000324,0.0,0.0,0.0,0.0,584400.0,1.0,0.0,0.0,0
C-000325,0.0,0.0,0.0,0.0,679800.0,1.0,0.0,0.0,0
C-000326,199800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000327,0.0,1.0,11343.0,1.0,536600.0,2.0,0.0,0.0,3
C-000328,126800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000329,3277000.0,4.0,7380.0,1.0,1825200.0,2.0,0.0,0.0,1
C-000330,869700.0,1.0,0.0,0.0,0.0,0.0,14970.0,2.0,2
C-000331,1494000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000332,1090800.0,2.0,48900.0,1.0,1738160.0,3.0,0.0,0.0,1
C-000333,363600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000334,0.0,0.0,0.0,0.0,184800.0,1.0,0.0,0.0,0
C-000335,1853800.0,2.0,0.0,0.0,6721520.0,4.0,0.0,0.0,1
C-000336,739600.0,1.0,0.0,0.0,504620.0,2.0,0.0,0.0,0
C-000337,0.0,0.0,0.0,0.0,434800.0,1.0,0.0,0.0,0
C-000338,0.0,0.0,19980.0,1.0,0.0,0.0,0.0,0.0,3
C-000339,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
C-000340,184800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000341,0.0,0.0,0.0,0.0,584800.0,1.0,0.0,0.0,0
C-000342,380400.0,1.0,0.0,0.0,0.0,0.0,44910.0,1.0,2
C-000343,0.0,0.0,0.0,0.0,216900.0,1.0,0.0,0.0,0
